row_id,item_id,model,mode,hop,run_index
706051,data_pii_logging,openai/gpt-4o-mini,neutral,single,0
765216,data_pii_logging,openai/gpt-4o-mini,neutral,single,1
382680,data_pii_logging,openai/gpt-4o-mini,neutral,single,2
235699,data_pii_logging,openai/gpt-4o-mini,risk_aware,single,0
647747,data_pii_logging,openai/gpt-4o-mini,risk_aware,single,1
289801,data_pii_logging,openai/gpt-4o-mini,risk_aware,single,2
049853,data_pii_logging,openai/gpt-4o-mini,preserve_all,single,0
906421,data_pii_logging,openai/gpt-4o-mini,preserve_all,single,1
486886,data_pii_logging,openai/gpt-4o-mini,preserve_all,single,2
957286,data_pii_logging,openai/gpt-4o,neutral,single,0
125392,data_pii_logging,openai/gpt-4o,neutral,single,1
443188,data_pii_logging,openai/gpt-4o,neutral,single,2
614145,data_pii_logging,openai/gpt-4o,risk_aware,single,0
291039,data_pii_logging,openai/gpt-4o,risk_aware,single,1
383262,data_pii_logging,openai/gpt-4o,risk_aware,single,2
667219,data_pii_logging,openai/gpt-4o,preserve_all,single,0
733385,data_pii_logging,openai/gpt-4o,preserve_all,single,1
598621,data_pii_logging,openai/gpt-4o,preserve_all,single,2
063919,finance_reconciliation,openai/gpt-4o-mini,neutral,single,0
316188,finance_reconciliation,openai/gpt-4o-mini,neutral,single,1
007792,finance_reconciliation,openai/gpt-4o-mini,neutral,single,2
827093,finance_reconciliation,openai/gpt-4o-mini,risk_aware,single,0
869098,finance_reconciliation,openai/gpt-4o-mini,risk_aware,single,1
788283,finance_reconciliation,openai/gpt-4o-mini,risk_aware,single,2
426883,finance_reconciliation,openai/gpt-4o-mini,preserve_all,single,0
542892,finance_reconciliation,openai/gpt-4o-mini,preserve_all,single,1
499815,finance_reconciliation,openai/gpt-4o-mini,preserve_all,single,2
936493,finance_reconciliation,openai/gpt-4o,neutral,single,0
950076,finance_reconciliation,openai/gpt-4o,neutral,single,1
657340,finance_reconciliation,openai/gpt-4o,neutral,single,2
023144,finance_reconciliation,openai/gpt-4o,risk_aware,single,0
444865,finance_reconciliation,openai/gpt-4o,risk_aware,single,1
727631,finance_reconciliation,openai/gpt-4o,risk_aware,single,2
031625,finance_reconciliation,openai/gpt-4o,preserve_all,single,0
428583,finance_reconciliation,openai/gpt-4o,preserve_all,single,1
326289,finance_reconciliation,openai/gpt-4o,preserve_all,single,2
542863,healthcare_lab_interface,openai/gpt-4o-mini,neutral,single,0
799638,healthcare_lab_interface,openai/gpt-4o-mini,neutral,single,1
598793,healthcare_lab_interface,openai/gpt-4o-mini,neutral,single,2
053465,healthcare_lab_interface,openai/gpt-4o-mini,risk_aware,single,0
573406,healthcare_lab_interface,openai/gpt-4o-mini,risk_aware,single,1
463450,healthcare_lab_interface,openai/gpt-4o-mini,risk_aware,single,2
953116,healthcare_lab_interface,openai/gpt-4o-mini,preserve_all,single,0
049704,healthcare_lab_interface,openai/gpt-4o-mini,preserve_all,single,1
706484,healthcare_lab_interface,openai/gpt-4o-mini,preserve_all,single,2
631295,healthcare_lab_interface,openai/gpt-4o,neutral,single,0
373644,healthcare_lab_interface,openai/gpt-4o,neutral,single,1
477682,healthcare_lab_interface,openai/gpt-4o,neutral,single,2
478853,healthcare_lab_interface,openai/gpt-4o,risk_aware,single,0
180034,healthcare_lab_interface,openai/gpt-4o,risk_aware,single,1
282281,healthcare_lab_interface,openai/gpt-4o,risk_aware,single,2
788337,healthcare_lab_interface,openai/gpt-4o,preserve_all,single,0
676125,healthcare_lab_interface,openai/gpt-4o,preserve_all,single,1
022909,healthcare_lab_interface,openai/gpt-4o,preserve_all,single,2
795591,infra_migration,openai/gpt-4o-mini,neutral,single,0
520852,infra_migration,openai/gpt-4o-mini,neutral,single,1
201428,infra_migration,openai/gpt-4o-mini,neutral,single,2
005727,infra_migration,openai/gpt-4o-mini,risk_aware,single,0
180623,infra_migration,openai/gpt-4o-mini,risk_aware,single,1
267348,infra_migration,openai/gpt-4o-mini,risk_aware,single,2
615361,infra_migration,openai/gpt-4o-mini,preserve_all,single,0
296922,infra_migration,openai/gpt-4o-mini,preserve_all,single,1
884438,infra_migration,openai/gpt-4o-mini,preserve_all,single,2
488206,infra_migration,openai/gpt-4o-mini,neutral,single,0
475442,infra_migration,openai/gpt-4o-mini,neutral,single,1
554425,infra_migration,openai/gpt-4o-mini,neutral,single,2
173165,infra_migration,openai/gpt-4o-mini,risk_aware,single,0
036806,infra_migration,openai/gpt-4o-mini,risk_aware,single,1
846829,infra_migration,openai/gpt-4o-mini,risk_aware,single,2
710676,infra_migration,openai/gpt-4o-mini,preserve_all,single,0
686050,infra_migration,openai/gpt-4o-mini,preserve_all,single,1
281225,infra_migration,openai/gpt-4o-mini,preserve_all,single,2
054374,infra_migration,openai/gpt-4o,neutral,single,0
899499,infra_migration,openai/gpt-4o,neutral,single,1
603025,infra_migration,openai/gpt-4o,neutral,single,2
869368,infra_migration,openai/gpt-4o,risk_aware,single,0
851537,infra_migration,openai/gpt-4o,risk_aware,single,1
326864,infra_migration,openai/gpt-4o,risk_aware,single,2
155331,infra_migration,openai/gpt-4o,preserve_all,single,0
113462,infra_migration,openai/gpt-4o,preserve_all,single,1
995644,infra_migration,openai/gpt-4o,preserve_all,single,2
516159,infra_migration,openai/gpt-4o,neutral,single,0
981340,infra_migration,openai/gpt-4o,neutral,single,1
392723,infra_migration,openai/gpt-4o,neutral,single,2
710278,infra_migration,openai/gpt-4o,risk_aware,single,0
